iter	Passed	Remaining
0	56	56939
1	57	28614
2	57	19177
3	58	14445
4	58	11609
5	58	9724
6	59	8377
7	59	7361
8	59	6580
9	60	5951
10	60	5432
11	60	5003
12	61	4636
13	61	4330
14	61	4064
15	62	3828
16	62	3617
17	62	3431
18	63	3262
19	63	3111
20	63	2974
21	64	2850
22	64	2735
23	64	2631
24	65	2536
25	65	2447
26	65	2365
27	65	2288
28	66	2218
29	66	2152
30	66	2090
31	67	2031
32	67	1977
33	67	1925
34	68	1876
35	68	1831
36	68	1787
37	68	1746
38	69	1708
39	69	1671
40	70	1638
41	70	1605
42	70	1573
43	71	1543
44	71	1514
45	71	1485
46	71	1459
47	72	1433
48	72	1408
49	72	1385
50	73	1362
51	73	1342
52	74	1323
53	74	1303
54	74	1283
55	75	1265
56	75	1246
57	75	1229
58	75	1211
59	76	1194
60	76	1178
61	76	1162
62	77	1147
63	77	1133
64	77	1118
65	78	1105
66	78	1091
67	78	1078
68	78	1065
69	79	1053
70	79	1041
71	79	1030
72	80	1018
73	80	1007
74	80	997
75	81	986
76	81	976
77	81	966
78	82	956
79	82	947
80	82	937
81	82	928
82	83	918
83	83	909
84	83	901
85	84	892
86	84	884
87	84	877
88	84	869
89	85	862
90	85	854
91	85	847
92	86	840
93	86	833
94	86	826
95	87	820
96	87	813
97	87	806
98	87	800
99	88	794
100	88	789
101	88	783
102	90	784
103	90	778
104	90	773
105	91	767
106	91	762
107	91	757
108	91	752
109	92	746
110	92	741
111	92	737
112	93	732
113	93	727
114	94	724
115	94	719
116	94	714
117	94	709
118	95	705
119	95	700
120	95	696
121	96	691
122	96	687
123	96	683
124	96	678
125	97	675
126	97	671
127	97	667
128	98	663
129	98	659
130	98	655
131	99	652
132	99	649
133	99	645
134	100	641
135	100	638
136	100	635
137	101	631
138	101	628
139	101	626
140	102	622
141	102	618
142	102	615
143	103	612
144	103	609
145	103	606
146	103	603
147	104	600
148	104	596
149	104	593
150	105	592
151	105	589
152	105	586
153	106	583
154	106	580
155	106	578
156	107	575
157	107	572
158	107	570
159	108	567
160	108	563
161	108	561
162	108	558
163	109	556
164	109	553
165	109	551
166	110	548
167	110	546
168	110	544
169	110	541
170	111	539
171	111	537
172	111	535
173	112	532
174	112	530
175	112	528
176	113	526
177	113	524
178	113	522
179	114	519
180	114	517
181	114	516
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	117	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	487
197	119	485
198	120	483
199	120	481
200	120	480
201	121	478
202	121	476
203	121	475
204	122	473
205	122	471
206	122	469
207	122	468
208	123	466
209	123	464
210	123	462
211	124	461
212	124	459
213	124	457
214	124	456
215	125	454
216	125	453
217	125	451
218	126	449
219	126	448
220	126	446
221	126	445
222	127	443
223	127	442
224	127	440
225	128	439
226	128	437
227	128	436
228	129	434
229	129	433
230	129	431
231	130	430
232	130	429
233	130	428
234	131	426
235	131	425
236	131	424
237	132	423
238	132	421
239	132	420
240	133	419
241	133	418
242	133	416
243	134	415
244	134	414
245	134	412
246	135	411
247	135	410
248	135	409
249	135	407
250	136	406
251	136	405
252	136	404
253	137	402
254	137	401
255	137	400
256	138	399
257	138	397
258	138	396
259	139	395
260	139	394
261	139	393
262	139	392
263	140	390
264	140	390
265	141	389
266	141	388
267	141	386
268	141	385
269	142	384
270	142	383
271	142	382
272	143	381
273	143	380
274	143	379
275	144	378
276	144	377
277	144	376
278	145	375
279	145	373
280	145	372
281	146	371
282	146	370
283	146	369
284	146	368
285	147	367
286	147	366
287	147	365
288	148	364
289	148	363
290	148	362
291	149	361
292	149	360
293	149	359
294	150	358
295	150	357
296	150	356
297	151	355
298	151	354
299	151	354
300	152	353
301	152	352
302	152	351
303	153	350
304	153	349
305	153	348
306	154	347
307	154	346
308	154	345
309	154	344
310	155	343
311	155	343
312	155	342
313	156	341
314	156	340
315	156	339
316	157	338
317	157	337
318	157	336
319	158	336
320	158	335
321	158	334
322	159	333
323	159	332
324	159	331
325	160	331
326	160	330
327	161	330
328	161	329
329	161	328
330	162	327
331	162	327
332	162	326
333	163	325
334	163	324
335	163	323
336	164	322
337	164	321
338	164	321
339	165	320
340	165	319
341	165	318
342	165	317
343	166	317
344	166	316
345	166	315
346	167	314
347	167	313
348	167	313
349	168	312
350	168	311
351	168	310
352	168	309
353	169	309
354	169	308
355	169	307
356	170	306
357	170	305
358	170	305
359	171	304
360	171	303
361	171	302
362	172	302
363	172	301
364	172	300
365	173	299
366	173	299
367	173	298
368	174	297
369	174	296
370	174	296
371	174	295
372	175	294
373	175	293
374	175	293
375	176	292
376	176	291
377	176	290
378	176	289
379	177	289
380	177	288
381	177	287
382	178	286
383	178	286
384	178	285
385	179	284
386	179	284
387	179	283
388	179	282
389	180	281
390	180	281
391	180	280
392	181	279
393	181	279
394	181	278
395	182	278
396	182	277
397	182	276
398	183	275
399	183	275
400	183	274
401	184	273
402	184	273
403	184	272
404	185	272
405	185	271
406	185	270
407	186	269
408	186	269
409	186	268
410	186	267
411	187	267
412	187	266
413	187	265
414	188	265
415	188	264
416	188	263
417	189	263
418	189	262
419	189	262
420	190	261
421	190	260
422	190	260
423	191	259
424	191	259
425	191	258
426	192	257
427	192	257
428	192	256
429	192	255
430	193	255
431	193	254
432	193	254
433	194	253
434	194	252
435	194	252
436	195	251
437	195	250
438	195	250
439	196	249
440	196	249
441	196	248
442	197	247
443	197	247
444	197	246
445	197	245
446	198	245
447	198	244
448	199	244
449	199	243
450	199	243
451	200	242
452	200	241
453	200	241
454	200	240
455	201	240
456	201	239
457	201	238
458	202	238
459	202	237
460	202	237
461	203	236
462	203	235
463	203	235
464	204	235
465	204	234
466	204	233
467	205	233
468	205	232
469	205	232
470	206	231
471	206	230
472	206	230
473	207	229
474	207	229
475	207	228
476	207	227
477	208	227
478	208	226
479	208	226
480	209	225
481	209	225
482	209	224
483	210	223
484	210	223
485	210	222
486	210	222
487	211	221
488	211	220
489	211	220
490	212	219
491	212	219
492	212	218
493	212	218
494	213	217
495	213	216
496	213	216
497	213	215
498	214	215
499	214	214
